Dataset_CustomerNo,MAX_TRANSACTION,MONETARY,FREQUENCY,RECENCY,F Score,M Score,R Score,RFM Score,Customer Segment,RECENCY2
13775,7/20/2019 0:00,11.53,1,133,1,1,2,211,Casual Shoppers,133
12081,12/16/2018 0:00,13.27,1,349,1,1,1,111,At Risk,349
16724,12/14/2018 0:00,13.27,1,351,1,1,1,111,At Risk,351
14025,3/18/2019 0:00,14.09,1,257,1,1,1,111,At Risk,257
15520,7/8/2019 0:00,15.32,1,145,1,1,2,211,Casual Shoppers,145
16703,3/6/2019 0:00,18.4,1,269,1,1,1,111,At Risk,269
12309,11/3/2019 0:00,12.86,1,27,1,1,4,411,Casual Shoppers,27
17401,11/18/2019 0:00,14.61,1,12,1,1,5,511,Casual Shoppers,12
16476,1/7/2019 0:00,14.61,1,327,1,1,1,111,At Risk,327
16937,8/10/2019 0:00,5.97,1,112,1,1,2,211,Casual Shoppers,112
15375,1/6/2019 0:00,23.32,1,328,1,1,1,111,At Risk,328
17246,6/27/2019 0:00,14.5,1,156,1,1,2,211,Casual Shoppers,156
13490,7/8/2019 0:00,23.02,1,145,1,1,2,211,Casual Shoppers,145
17936,6/23/2019 0:00,23.06,1,160,1,1,2,211,Casual Shoppers,160
12810,6/14/2019 0:00,11.98,1,169,1,1,2,211,Casual Shoppers,169
17116,1/5/2019 0:00,18.06,1,329,1,1,1,111,At Risk,329
12256,10/14/2019 0:00,13.21,1,47,1,1,3,311,Casual Shoppers,47
15818,10/6/2019 0:00,19.42,1,55,1,1,3,311,Casual Shoppers,55
15085,2/15/2019 0:00,15.84,1,288,1,1,1,111,At Risk,288
13773,2/23/2019 0:00,15.02,1,280,1,1,1,111,At Risk,280
12160,8/12/2019 0:00,51.2,1,110,1,1,2,211,Casual Shoppers,110
16257,6/16/2019 0:00,32.75,1,167,1,1,2,211,Casual Shoppers,167
14922,2/14/2019 0:00,21.17,1,289,1,1,1,111,At Risk,289
12485,12/19/2018 0:00,30.7,1,346,1,1,1,111,At Risk,346
15510,1/13/2019 0:00,1321.24,1,321,1,1,1,111,At Risk,321
12006,5/5/2019 0:00,24.76,1,209,1,1,1,111,At Risk,209
18268,7/28/2019 0:00,46.64,1,125,1,1,2,211,Casual Shoppers,125
17102,3/23/2019 0:00,46.64,1,252,1,1,1,111,At Risk,252
15848,5/4/2019 0:00,25.72,1,210,1,1,1,111,At Risk,210
13674,9/21/2019 0:00,22.24,1,70,1,1,3,311,Casual Shoppers,70
16454,10/6/2019 0:00,26.54,1,55,1,1,3,311,Casual Shoppers,55
17763,3/21/2019 0:00,138.36,1,254,1,1,1,111,At Risk,254
14576,12/2/2018 0:00,159.24,1,363,1,1,1,111,At Risk,363
13120,4/15/2019 0:00,154.32,1,229,1,1,1,111,At Risk,229
17747,8/19/2019 0:00,196.2,1,103,1,1,2,211,Casual Shoppers,103
13185,3/17/2019 0:00,196.2,1,258,1,1,1,111,At Risk,258
15524,11/15/2019 0:00,492,1,15,1,1,4,411,Casual Shoppers,15
18233,1/18/2019 0:00,492,1,316,1,1,1,111,At Risk,316
15940,2/1/2019 0:00,77.68,1,302,1,1,1,111,At Risk,302
13391,5/20/2019 0:00,102.28,1,194,1,1,1,111,At Risk,194
16765,2/18/2019 0:00,75.84,1,285,1,1,1,111,At Risk,285
13307,8/11/2019 0:00,56.36,1,111,1,1,2,211,Casual Shoppers,111
12060,12/9/2018 0:00,36.75,1,356,1,1,1,111,At Risk,356
12013,12/15/2018 0:00,69.96,1,350,1,1,1,111,At Risk,350
17823,11/25/2019 0:00,36.12,1,5,1,1,5,511,Casual Shoppers,5
18068,2/23/2019 0:00,165.72,1,280,1,1,1,111,At Risk,280
12236,6/27/2019 0:00,65.52,1,156,1,1,2,211,Casual Shoppers,156
12954,8/31/2019 0:00,63.9,1,91,1,1,2,211,Casual Shoppers,91
15040,4/5/2019 0:00,63.9,1,239,1,1,1,111,At Risk,239
17753,2/11/2019 0:00,69.18,1,292,1,1,1,111,At Risk,292
15657,11/17/2019 0:00,276.72,1,13,1,1,5,511,Casual Shoppers,13
13188,11/28/2019 0:00,148.56,1,2,1,1,5,511,Casual Shoppers,2
17382,10/5/2019 0:00,297.6,1,56,1,1,3,311,Casual Shoppers,56
13703,1/25/2019 0:00,204.5,1,309,1,1,1,111,At Risk,309
17986,10/14/2019 0:00,61.9,1,47,1,1,3,311,Casual Shoppers,47
16953,11/9/2019 0:00,61.9,1,21,1,1,4,411,Casual Shoppers,21
13302,7/7/2019 0:00,116.6,1,146,1,1,2,211,Casual Shoppers,146
